IDTEACH,IDSCHOOL,TT3G55A,TT3G55B,TT3G55C,TT3G55D,TT3G55E,TT3G55F,TT3G55G,TT3G55H,TT3G55I,CONT
300102,3001,2,3,2,2,2,2,3,3,3,1
300103,3001,2,2,3,1,2,3,2,3,1,1
300104,3001,3,3,3,3,3,3,3,3,3,1
300105,3001,3,3,3,3,3,3,3,3,3,1
300106,3001,2,1,1,1,3,1,2,2,1,1
300107,3001,3,3,3,3,3,3,3,3,2,1
300201,3002,3,3,2,3,3,3,3,3,2,1
300202,3002,3,2,3,3,3,3,3,3,3,1
300203,3002,3,3,3,3,3,3,3,3,2,1
300204,3002,3,3,3,3,3,3,3,3,3,1
300205,3002,3,3,3,3,3,3,3,3,3,1
300206,3002,3,3,3,3,3,3,3,3,1,1
300207,3002,0,0,0,0,0,0,0,0,0,1
300209,3002,3,2,2,3,3,3,3,3,3,1
300210,3002,3,2,2,3,3,3,3,3,3,1
300211,3002,3,3,3,3,3,3,3,3,3,1
300212,3002,3,3,3,3,3,3,3,3,3,1
300213,3002,3,3,3,3,3,3,3,3,3,1
300214,3002,3,3,3,3,3,3,3,3,2,1
300301,3003,3,2,1,3,3,3,3,3,3,1
300302,3003,3,3,3,3,3,3,3,3,3,1
300303,3003,3,3,1,2,3,1,3,3,3,1
300304,3003,3,3,3,3,3,3,3,3,3,1
300305,3003,3,3,3,3,3,3,3,3,3,1
300306,3003,3,3,3,3,3,3,3,3,3,1
300307,3003,3,3,3,3,3,3,3,3,3,1
300309,3003,3,3,3,1,3,3,3,3,1,1
300310,3003,3,3,3,1,2,1,3,3,2,1
300311,3003,0,0,0,0,0,0,0,0,0,1
300312,3003,3,3,3,3,3,3,3,3,3,1
300313,3003,3,3,2,3,3,3,3,3,2,1
300401,3004,3,2,2,3,3,2,3,3,2,1
300402,3004,2,3,3,3,3,3,3,3,3,1
300404,3004,2,3,3,3,3,3,3,3,2,1
300405,3004,3,3,2,3,3,3,3,3,2,1
300409,3004,3,3,3,3,3,3,2,3,2,1
300410,3004,1,3,3,3,3,3,3,3,2,1
300414,3004,3,3,3,3,3,3,3,3,3,1
300420,3004,3,3,3,3,3,3,3,3,3,1
300421,3004,2,2,3,3,3,3,3,3,1,1
300423,3004,3,3,3,3,3,3,3,3,3,1
300424,3004,3,3,3,3,3,3,3,3,3,1
300501,3005,3,3,3,3,3,3,3,3,3,1
300502,3005,3,3,3,3,3,3,3,3,2,1
300503,3005,2,3,3,3,3,3,3,3,3,1
300504,3005,3,3,3,3,3,3,3,3,3,1
300505,3005,3,2,2,2,3,3,3,3,1,1
300506,3005,2,3,2,3,3,3,3,3,2,1
